# Epilogue route continuation: Yuto's forgotten school life
<Character=サツキ>怒り4	<Character=サツキ>愤怒4
「いや、別に？何も？」	“没什么啊？什么都没说。”
「ほんとにー？\nまぁ、別にいいッスけど。」	“真的——？\n算了，没事就好。”
「あぁ、そうだ。\n天道がさっき言ってたけど\nお前、今休暇中なんだろ？」	“啊，对了。\n刚才天道说，你现在\n正在休假吧？”
「これからどっか遊びに行こうぜ。」	“那我们去哪里玩吧。”
「おー。デートッスね。\n行きましょ行きましょ。」	“哦——，约会对吧。\n走吧走吧。”
「ほんじゃ、着替えてくるッス。\nでわ。」	“那我去换衣服。\n待会儿见。”
（一瞬で機嫌が直ったノヴァは\n<ruby=みじたく>身支度</ruby>を整えにパタパタと自室に入って行った。）	（诺瓦转眼间就恢复了好心情，\n啪嗒啪嗒地回房间整理<ruby=みじたく>仪容</ruby>。）
<Off>煽り・私服	<Off>挑衅・便服
「やっべ。遅刻遅刻～。」	“糟糕糟糕，要迟到了——。”
「ごめん。待った？」	“抱歉，让你久等了吗？”
「おっそーい。\nいつまで待たせるのよ～。」	“太慢了——。\n你要让我等到什么时候呀——。”
「女の子を待たせるなんて\n失礼しちゃうわね。ぷんぷん。」	“居然让女孩子等你，\n真是太失礼了。哼哼。”
「ごめんごめん。\n喫茶店でアイスストロベリーパフェ奢るから\n機嫌直してよ？」	“对不起对不起。\n我请你在咖啡店吃冰草莓芭菲，\n你就别生气了？”
「しょうがないにゃ～。いいよっ。」	“真拿你没办法——。好吧。”
「でも、トッピングはダブルで勘弁してあげる。」	“不过配料要加双份，这样我就原谅你。”
<Off>笑顔3・私服	<Off>笑容3・便服
「ははは。こいつは一本取られたぜ。」	“哈哈哈，这下被你将了一军。”
「あはは。こいつぅー。」	“啊哈哈，你这家伙——。”
「……で、今回のパターンは\nどういう狙いがあるんだ？」	“……所以，这次的套路\n有什么目的？”
「これまでとは<ruby=しこう>志向</ruby>を変えて\n彼氏が遅れて彼女のゴキゲン取りを\nするパターンッス。」	“这次改变<ruby=しこう>思路</ruby>，\n采用男朋友迟到后讨好女朋友\n的套路。”
「先に待ち合わせ場所で待っていたにも関わらず\n遅刻した彼氏を許してしまう彼女。」	“明明先到了约会地点等候，\n女朋友却原谅了迟到的男朋友。”
「その<ruby=いっしんふらん>一心不乱</ruby>な<ruby=けなげ>健気</ruby>さと\n<ruby=おおうなばら>大海原</ruby>のような心の広さを持ち合わせた\nパーフェクトな彼女に彼はもうメロメロでしょう。」	“她拥有<ruby=いっしんふらん>一心一意</ruby>的<ruby=けなげ>坚韧</ruby>，\n以及<ruby=おおうなばら>大海</ruby>般宽广的胸襟，\n面对如此完美的女朋友，他肯定已经神魂颠倒了。”
「心広いやつがダブル要求するかね？」	“心胸宽广的人会要求加双份吗？”
「逆ッス。」	“恰恰相反。”
「逆？」	“相反？”
「これは川島さんの心を広げる為なんス。\n彼女がダブル要求しても『はい。よろこんで。』と\nすぐに返せる心の広さを養う訓練ッス。」	“这是为了拓宽川岛先生的胸襟。\n即使女朋友要求双份，也能立刻回答‘好的，乐意之至’，\n这是培养宽广心胸的训练。”
「お前はイエスマンを量産し\n自分の<ruby=げぼく>下僕</ruby>としようしているのか？」	“你是想批量生产应声虫，\n把他们变成自己的<ruby=げぼく>仆人</ruby>吗？”
「否定無き肯定のみがある世界。\n人々が<ruby=そんちょう>尊重</ruby>し合える争いが生まれない真の平等。\nそれってとっても平和で素晴らしい世界だよねっ。」	“一个只有肯定、没有否定的世界。\n人们彼此<ruby=そんちょう>尊重</ruby>，不产生争端，是真正的平等。\n那可是既和平又美好的世界呢。”
「人はそれをディストピアと言うんじゃないのか？」	“人们不是把那叫作反乌托邦吗？”
「川島さんは<ruby=リアリスト>現実主義者</ruby>ッスねー。\nまぁ、だからこそ一緒に居て\n退屈はしないッスけど。」	“川岛先生真是<ruby=リアリスト>现实主义者</ruby>呢——。\n不过也正因为如此，\n和你待在一起才不会无聊。”
<Off>笑み2・私服	<Off>笑容2・便服
「さて、<ruby=こうれい>恒例</ruby>の茶番は終わった事だし\nデートを始めるとすっか。」	“好了，<ruby=こうれい>惯例</ruby>的闹剧结束，\n我们开始约会吧。”
「茶番では無く儀式ッス。\n<ruby=よていちょうわ>予定調和</ruby>ッス。」	“这不是闹剧，是仪式。\n是<ruby=よていちょうわ>预定调和</ruby>。”
「それにデートなら\nもう始まってるんスよ。」	“而且说是约会的话，\n其实已经开始了。”
独伯	独白
（ノヴァは俺の手を取り、歩き出す。）	（诺瓦牵起我的手，迈步走去。）
「さあ、行きましょう。\n我々のデートスポットへ。」	“来吧，我们去\n我们的约会地点。”
「え？ナニコレ？」	“诶？这是什么？”
「今日は特別でしてね。当店ナンバーワンメイドの\nノヴァちゃんが川島さんの専属メイドとして\nおもてなしをさせて頂くんスよ。」	“今天是特别活动。\n本店第一名女仆诺瓦酱会作为川岛先生的专属女仆，\n为您提供服务。”
「この前、ノヴァがカードハンターを追い払って\nウチの店を救ってくれたからね。\nそのお礼も兼ねてのサービスよ。」	“上次诺瓦赶走了卡片猎人，\n救了我们店。\n这也是为了答谢她的特别服务。”
「良かったわね。ユートくん。\n超人気メイドのノヴァに特別接待してもらえるなんて。\nノヴァのファンが知ったら抹殺ものよ。」	“太好了，悠斗。\n能得到超人气女仆诺瓦的特别接待。\n要是诺瓦的粉丝知道了，恐怕会把你抹杀。”
<Off>煽り2・私服	<Off>挑衅2・便服
「へぇー。そうなんだ。\nこいつはありがたい話だ。この場に\nノヴァのファンが居ない事を祈るよ。はは。」	“哦——，这样啊。\n那可真是荣幸。\n我只希望现场没有诺瓦的粉丝，哈哈。”
「ご主人様。今日はあなただけのメイドです。\nあなたの望みを叶え、\nあなたに<ruby=しふく>至福</ruby>の<ruby=ひととき>一時</ruby>を与えましょう。」	“主人，今天我只为您一人服务。\n我会实现您的愿望，\n为您带来<ruby=しふく>至福</ruby>的<ruby=ひととき>时光</ruby>。”
「それでは一名様、ご案内～。」	“那么，一位客人，请这边——。”
「お待ちどうさまー。ご注文の\n『ふわとろにゃんこオムライス』でーッス。」	“久等啦——。您点的\n‘松软猫咪蛋包饭’来啦——。”
「え？頼んでないけど？」	“诶？我没点这个啊？”
「今日のまかないは\n『ふわとろにゃんこオムライス』でーッス。\nだからタダなんです、ご主人様ー。」	“今天的员工餐是\n‘松软猫咪蛋包饭’——。\n所以这是免费的，主人——。”
「……わざわざ金が掛からないメニューを\nご主人様に出すのはメイドとしてどうなんだ？」	“……特意给主人端上不花钱的菜单，\n作为女仆真的没问题吗？”
「ご主人様のお財布にも気を使える会計番長。\nそれがメイドのたしなみなのです。」	“既能照顾主人的钱包，又精通算账，\n这才是女仆应有的修养。”
「す、すげえ…！メイドの鑑だ…！\nなんて優良店…！コンカフェは客から\n<ruby=さくしゅ>搾取</ruby>するだけじゃなかったんだな…！」	“好、好厉害……！女仆的楷模……！\n多么良心的店……！原来女仆咖啡厅不只是\n<ruby=さくしゅ>榨取</ruby>客人的钱啊……”
「当店が頂くのはご主人様のお気持ち。\nお気持ちはご主人様の我々にお見せ頂く\n誠意の具現化。<ruby=すなわ>即</ruby>ち対価でございます。」	“本店收取的是主人的心意。\n心意是主人向我们展示诚意的具象化，\n<ruby=すなわ>即</ruby>是应付的代价。”
<Off>怒り7・私服	<Off>愤怒7・便服
「……遠回しに金銭要求してんじゃねー。」	“……你这不是拐弯抹角地要钱吗。”
「さて、それでは美味しくなる\n魔法を掛けましょう。」	“那么，接下来施展\n让食物变美味的魔法。”
「さ、これで魔法が掛かりました。」	“好，魔法已经施好了。”
「おお。じゃあ、早速いただきまーす。」	“哦，那我就开动了。”
（俺がオムライスを食べようとした瞬間、\nノヴァにスプーンをかっさわれた。）	（我正要吃蛋包饭的瞬间，\n勺子却被诺瓦一把抢走。）
<Off>悲しみ4・私服	<Off>悲伤4・便服
「あの……食べられないんですけど？」	“那个……我没法吃了吧？”
「自分が食べさせてあげるッス。」	“我来喂您吧。”
「はい。あ～ん。」	“来，啊——。”
（ノヴァはスプーンでオムライスを一口すくい、\n俺の口元まで持ってくる。）	（诺瓦用勺子舀起一口蛋包饭，\n送到我的嘴边。）
「あ、あーん。」	“啊、啊——。”
「もぐもぐ………。」	“嚼嚼……”
「おいしい？」	“好吃吗？”
「お、おいしい。」	“好、好吃。”
「美味しい頂きましたァッ！」	“收到‘好吃’的评价啦——！”
「おめでとうございます！」	“恭喜！”
「おめでとう！」	“恭喜！”
（突如、店内から\n巻き起こる『おめでとう』コールと拍手。\nまるで状況が理解出来ない俺は唖然とする。）	（店内突然响起\n“恭喜”的欢呼和掌声。\n完全无法理解状况的我目瞪口呆。）
（なんなんだこれは。）	（这到底是什么情况。）
「……こういう時、\nどういう顔をすればいいのかわからない。」	“……这种时候，\n我不知道该摆出什么表情。”
「笑えばいいと思うよ。」	“我觉得笑就好了。”
「は……はは。」	“哈……哈哈。”
「はい。\n『アイスストロベリーパフェ・ダブル』。\nお待ちどうさま。」	“给您。\n‘冰草莓芭菲・双份’。\n久等了。”
「おー。ありがとーッス。」	“哦——，谢谢啦。”
「じゃ、ごゆっくり～。」	“那请慢慢享用——。”
「うほー。美味そうー。\nいただきまーッス。」	“呜呼——，看起来好好吃。\n我开动啦——。”
「もぐもぐ……ウマー。」	“嚼嚼……真香。”
（おもてなしの儀式が終わったノヴァは\n俺の隣に座り普通に客として\nパフェを食い始める。）	（待客仪式结束后，诺瓦坐到我身边，\n像普通客人一样\n开始吃起芭菲。）
「メイド服来て客席に座ってると\n何か普通に休憩中みたいだな。」	“穿着女仆装坐在客席里，\n看起来就像普通的休息时间。”
「実際今日はバイトじゃなくて\nお客として来てますからなぁ。」	“实际上今天不是来打工，\n而是作为客人来的嘛。”
「オフの日にも制服貸してくれて\nメイドさんごっこさせてもらえるのは\nこのお店の懐の広いところですな。」	“休息日还愿意借制服给我，\n让我玩女仆扮演，\n这家店真是宽宏大量。”
「まぁ、お前がバイト先で\n楽しそうにやってるのが見れて良かったよ。」	“总之，能看到你在打工的地方\n干得这么开心，我就放心了。”
「あーあれッスよね。働く姿という\n普段とはまた違った一面を見れて\nそのギャップに胸キュンするやつッスね。」	“啊——，就是那个吧。\n看到平时以外的工作模样，\n被反差萌击中心脏。”
「そして、可愛い彼女が仕事とはいえ\n他人のご主人様にご奉仕するのを見て\nNTR展開で脳が破壊されるまでがセット。」	“然后看着可爱的女朋友，\n即使是工作也要侍奉别人的主人，\n最后在 NTR 展开中精神崩坏，这才算一整套。”
「……まぁ、確かにノヴァが俺以外のヤツに\nご奉仕してるのは見ていて正直あまり面白くはない。」	“……嗯，确实。看到诺瓦为除我以外的人\n提供服务，老实说并不怎么愉快。”
「おんやー。川島さん。\nもしかしてノヴァちゃんにヤキモチですかー？」	“哎呀——，川岛先生。\n难道你在对诺瓦酱吃醋吗——？”
<Off>思案4・私服	<Off>思考4・便服
「<ruby=ちゃか>茶化</ruby>すな。俺は推しのノヴァちゃんが\n誰かと仲良くしてるのが嫌なんだい。」	“别<ruby=ちゃか>打趣</ruby>我。我只是不喜欢自己推的诺瓦酱\n和别人亲密。”
「<ruby=す>拗</ruby>ねるな<ruby=す>拗</ruby>ねるな。\nまったくういやつよのう。」	“别<ruby=す>闹别扭</ruby>啦，别<ruby=す>闹别扭</ruby>啦。\n真是个可爱的家伙。”
「というわけで特別企画！\nノヴァちゃんへの質問コーナーの時間です。」	“因此，特别企划开始！\n现在是向诺瓦酱提问的时间。”
「ノヴァちゃんに\n何か聞きたい事はあるかなー？\n今なら何でも答えちゃうゾー。」	“有没有什么想问诺瓦酱的——？\n现在不管什么问题\n我都回答哦——。”
「何の<ruby=みゃくりゃく>脈絡</ruby>も無しに\n唐突に謎コーナーが始まったな。」	“毫无<ruby=みゃくりゃく>铺垫</ruby>地\n突然开始了奇怪的环节。”
「質問募集中。」	“征集问题中。”
<Off>思案3・私服	<Off>思考3・便服
「………質問ねえ。」	“……问题啊。”
「そういやさ。\n<ruby=ノヴァ>NOVA</ruby>シリーズって\n結局どうなったんだ？」	“说起来，\n<ruby=ノヴァ>NOVA</ruby>系列\n最后怎么样了？”
（あの<ruby=ふとう>埠頭</ruby>で<ruby=ノヴァ>NOVA</ruby>シリーズが<ruby=いかるがけいさつ>斑鳩警察</ruby>と交戦し、\n結果的にはノヴァが戦いを\n停止させたんだよな。）	（在那座<ruby=ふとう>码头</ruby>，<ruby=ノヴァ>NOVA</ruby>系列与<ruby=いかるがけいさつ>斑鸠警察</ruby>交战，\n最后是诺瓦\n让战斗停止的。）
「元々<ruby=ノヴァ>NOVA</ruby>シリーズは<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょない>帝国重工生体工学研究所内</ruby>に\n<ruby=へいせつ>併設</ruby>されている<ruby=プロジェクトノヴァ>Project-NOVA</ruby>実験施設で\n<ruby=とうけつ>凍結</ruby>されていたんス。」	“原本<ruby=ノヴァ>NOVA</ruby>系列一直在\n<ruby=ていこくじゅうこうせいたいこうがくけんきゅうじょない>帝国重工生物工程研究所内</ruby><ruby=へいせつ>附设</ruby>的\n<ruby=プロジェクトノヴァ>Project-NOVA</ruby>实验设施中被<ruby=とうけつ>冻结</ruby>。”
「今回、ドクターが川島さんを抹殺対象に定めた事で\n<ruby=ノヴァ>NOVA</ruby>シリーズをスクランブルで<ruby=とうけつ>凍結</ruby>を解除し\n戦線に出撃させたという経緯があったわけッス。」	“这次博士把川岛先生定为抹杀目标，\n于是通过紧急调度解除<ruby=ノヴァ>NOVA</ruby>系列的<ruby=とうけつ>冻结</ruby>，\n让它们出击战场。”
「そして、<ruby=ふとう>埠頭</ruby>での<ruby=いかるがけいさつ>斑鳩警察</ruby>と戦闘後、\nドクターが逮捕されたのを機にスクランブルは解除。」	“在<ruby=ふとう>码头</ruby>与<ruby=いかるがけいさつ>斑鸠警察</ruby>交战后，\n博士被捕，紧急调度也随之解除。”
「<ruby=ノヴァ>NOVA</ruby>シリーズは元の実験施設へと戻り\n再凍結となっているんス。」	“<ruby=ノヴァ>NOVA</ruby>系列已经回到原实验设施，\n重新冻结了。”
「なので、<ruby=ノヴァ>NOVA</ruby>シリーズは\n皆で<ruby=おとな>大人</ruby>しく睡眠中ッスね。」	“所以现在<ruby=ノヴァ>NOVA</ruby>系列\n全都乖乖地<ruby=おとな>安静</ruby>睡觉呢。”
<Off>片目・私服	<Off>单眼・便服
「なるほど。\n急に<ruby=ノヴァ>NOVA</ruby>シリーズが現れ始めたのは\nそういう理由だったのか。」	“原来如此。\n<ruby=ノヴァ>NOVA</ruby>系列突然开始现身，\n就是因为这个原因啊。”
「ん？<ruby=ノヴァ>NOVA</ruby>シリーズってのは\n元々実験施設で凍結されてたんだよな？\n何でお前は凍結されてないの？」	“嗯？<ruby=ノヴァ>NOVA</ruby>系列原本都在实验设施里冻结，\n那你为什么\n没有被冻结？”
「自分は<ruby=ノヴァ>NOVA</ruby>シリーズの\n<ruby=ちゅうすうしれいとう>中枢司令塔</ruby>であり本体。\nつまり、リーダー的存在だからッス。」	“我是<ruby=ノヴァ>NOVA</ruby>系列的\n<ruby=ちゅうすうしれいとう>中央指挥塔</ruby>，也是本体。\n也就是领袖一样的存在。”
「はあ。」	“哦。”
「<ruby=ノヴァ>NOVA</ruby>シリーズは、各機体が常時\n<ruby=ノヴァ>NOVA</ruby>ネットワークに接続され、取得した情報や\n記憶をリアルタイムで全ユニットに伝達可能ッス。」	“<ruby=ノヴァ>NOVA</ruby>系列的各个机体始终\n连接着<ruby=ノヴァ>NOVA</ruby>网络，能够将取得的信息和\n记忆实时传达给所有单元。”
「そのため遠隔任務や集団行動においても、\n<ruby=しきけいとう>指揮系統</ruby>の<ruby=ちえん>遅延</ruby>が存在せず\n単一の意思で動いているかのように機能するッス。」	“因此即使执行远程任务或集体行动，\n<ruby=しきけいとう>指挥系统</ruby>也不存在<ruby=ちえん>延迟</ruby>，\n就像由同一个意志驱动般运作。”
「重要なのは、<ruby=ノヴァ>NOVA</ruby>シリーズが\n“個体”ではなく“集合体”として\n設計されている点ッスね。」	“关键在于，<ruby=ノヴァ>NOVA</ruby>系列\n并不是作为‘个体’，\n而是作为‘集合体’设计的。”
「ゆえに一機を破壊しても意味はなく、\n<ruby=ちゅうすうしれいとう>中枢司令塔</ruby>である自分が存在する限り\n<ruby=ノヴァ>NOVA</ruby>シリーズは永久に不滅なんスよ。」	“因此摧毁一台机体毫无意义。\n只要身为<ruby=ちゅうすうしれいとう>中央指挥塔</ruby>的我还存在，\n<ruby=ノヴァ>NOVA</ruby>系列就永远不会灭亡。”
「これぞまさにワンフォーオール、\nオールフォーワンのシステムッス。」	“这正是‘我为人人、\n人人为我’的系统。”
<Off>真顔・私服	<Off>面无表情・便服
「つまり、<ruby=ちゅうすうしれいとう>中枢司令塔</ruby>であるお前さえ\n稼働していれば<ruby=ノヴァ>NOVA</ruby>シリーズを\n動かす事も止める事も出来るって事か。」	“也就是说，只要作为<ruby=ちゅうすうしれいとう>中央指挥塔</ruby>的你\n还在运作，就能让<ruby=ノヴァ>NOVA</ruby>系列\n启动或停止吗？”
「そうッス。<ruby=ノヴァ>NOVA</ruby>シリーズは\n凍結状態ではあるスけど自分が号令をかければ\nいつでも呼び出す事はも可能ッスね。」	“没错。虽然<ruby=ノヴァ>NOVA</ruby>系列处于\n冻结状态，但只要我一声令下，\n随时都能把它们召来。”
「なるほど。だから急に影山が\n<ruby=ノヴァ>NOVA</ruby>シリーズ全機投入する事が出来たわけか。」	“原来如此。所以影山才能突然\n投入<ruby=ノヴァ>NOVA</ruby>系列的全部机体。”
「まぁ、凍結状態と言っても常に<ruby=ノヴァ>NOVA</ruby>ネットワークで\n全機体に情報は共有されているからいつでも出撃可能な\nスタンバイ状態ではあるんスよね。」	“虽说处于冻结状态，但所有机体始终通过<ruby=ノヴァ>NOVA</ruby>网络\n共享信息，\n其实一直都处于随时可以出击的待机状态。”
「………あの戦力を\nいつでも動かせるって考えたらヤバイな。」	“……想到那种战力随时都能启动，\n还真够危险的。”
「実際、<ruby=ノヴァ>NOVA</ruby>シリーズの登場で\nオートマタの軍事利用が更に\n注目されるようになったのは事実ッスね。」	“事实上，随着<ruby=ノヴァ>NOVA</ruby>系列登场，\n自动人偶的军事用途\n确实变得更加受关注了。”
「即時情報共有による統制、分散侵入と同時制圧。\n<ruby=ノヴァ>NOVA</ruby>シリーズの特性を最大限に活用することで、\n従来の強襲作戦とは一線を<ruby=かく>画</ruby>す成果が期待できるッスから。」	“即时信息共享带来的统制、分散入侵与同时压制。\n最大限利用<ruby=ノヴァ>NOVA</ruby>系列的特性，\n就能取得与传统强袭作战<ruby=かく>截然不同</ruby>的成果。”
「戦況を一気に変えるようなものを\n開発してしまったせいで、」	“正因为开发出了这种能\n瞬间改变战局的东西，”
「<ruby=ていこくじゅうこう>帝国重工</ruby>は軍関係のスポンサーから\nファンレターが絶えないのだとか。」	“听说<ruby=ていこくじゅうこう>帝国重工</ruby>收到军方赞助商的\n粉丝来信络绎不绝。”
「でもよ。<ruby=ノヴァ>NOVA</ruby>シリーズを\nずっと眠らせておくって事は<ruby=ていこくじゅうこう>帝国重工</ruby>は\n軍事利用は考えてないって事か？」	“可是，既然让<ruby=ノヴァ>NOVA</ruby>系列\n一直沉睡，难道<ruby=ていこくじゅうこう>帝国重工</ruby>就没考虑\n军事用途吗？”
「そうみたいッスね。元々、<ruby=ノヴァ>NOVA</ruby>シリーズは\n人工的にソードブレイカーを扱い<ruby=けんま>剣魔</ruby>を<ruby=くちく>駆逐</ruby>するという\n目的で設計されているッス。」	“似乎是这样。<ruby=ノヴァ>NOVA</ruby>系列原本就是为了\n人工操纵破刃剑、<ruby=けんま>消灭</ruby><ruby=くちく>剑魔</ruby>\n这一目的而设计的。”
「なので、そのコンセプトを\n変えるつもりは無いみたいッス。」	“所以他们似乎没有\n改变这一理念的打算。”
<Off>思案2・私服	<Off>思考2・便服
「<ruby=けんま>剣魔</ruby>を<ruby=くちく>駆逐</ruby>……か。」	“<ruby=けんま>消灭</ruby><ruby=くちく>剑魔</ruby>……吗。”
<Off>真剣・私服	<Off>认真・便服
「<ruby=けんま>剣魔</ruby>を<ruby=くちく>駆逐</ruby>し平和に暮らせる世界を願った。\nその為にノエルは\n<ruby=プロジェクトノヴァ>Project-NOVA</ruby>の実験に参加したんだよな。」	“为了消灭<ruby=けんま>剑魔</ruby><ruby=くちく>、</ruby>生活在和平的世界，\n诺艾尔才参加了\n<ruby=プロジェクトノヴァ>Project-NOVA</ruby>的实验，对吧。”
「ええ。<ruby=りんしょうじっけん>臨床実験</ruby>の結果としてノエルさんの\n命と引き換えに<ruby=だいさんせだいがた>第三世代型</ruby>オートマタ、\n<ruby=ノヴァ>NOVA</ruby>13号機の自分が誕生したんス。」	“是的。作为<ruby=りんしょうじっけん>临床实验</ruby>的结果，\n以诺艾尔小姐的生命为代价，诞生了<ruby=だいさんせだいがた>第三世代型</ruby>自动人偶，\n也就是<ruby=ノヴァ>NOVA</ruby>13号机的我。”
「ノエルは死んだ。もう居ない。\nだけどノエルの<ruby=こんぱく>魂魄</ruby>はお前の<ruby=ぎじこんぱく>疑似魂魄</ruby>の中で\n今も生き続けている。そうだろ？」	“诺艾尔死了，已经不在了。\n但诺艾尔的<ruby=こんぱく>魂魄</ruby>仍在你的<ruby=ぎじこんぱく>拟似魂魄</ruby>中\n延续至今。对吧？”
「そッス。<ruby=ノヴァ>NOVA</ruby>シリーズの原点。\nオリジナルの<ruby=こんぱく>魂魄</ruby>を受け継いだ自分は\nノヴァであり、ノエルさんでもあるッス。」	“是的。<ruby=ノヴァ>NOVA</ruby>系列的起点，\n继承了原始<ruby=こんぱく>魂魄</ruby>的我，\n既是诺瓦，也是诺艾尔小姐。”
「だからこそ、自分は<ruby=ちゅうすうしれいとう>中枢司令塔</ruby>として\n<ruby=ノヴァ>NOVA</ruby>シリーズの<ruby=しきけいとう>指揮系統</ruby>を<ruby=にな>担</ruby>っているという\n経緯があるんスよ。」	“正因如此，我才会作为<ruby=ちゅうすうしれいとう>中央指挥塔</ruby>，\n<ruby=ノヴァ>NOVA</ruby>系列的<ruby=しきけいとう>指挥系统</ruby>由我<ruby=にな>负责</ruby>，\n这就是事情的经过。”
<Off>笑み5・私服	<Off>笑容5・便服
「そっか。お前の中に\nノエルが居るってわかって\n俺も救われた気がするよ。」	“这样啊。知道诺艾尔\n就在你的体内，\n我也觉得得到了救赎。”
<Off>苦笑・私服	<Off>苦笑・便服
「あの時の俺はノエルを\n助けてやる事は出来なかったから。」	“因为那时候的我，\n没能救下诺艾尔。”
「ノエルさんは既に川島さんに\n救われていたんだと思うッス。」	“我觉得诺艾尔小姐其实早已\n被川岛先生救过了。”
「だから、ノエルさんは自分の意志で、\n<ruby=けんま>剣魔</ruby>が居ない世界を望んで<ruby=プロジェクトノヴァ>Project-NOVA</ruby>の\n臨床実験を受ける事を決意した。」	“所以诺艾尔小姐才凭自己的意志，\n为了一个没有<ruby=けんま>剑魔</ruby>的世界，决定接受\n<ruby=プロジェクトノヴァ>Project-NOVA</ruby>的临床实验。”
「ノエルさんが最後まで\nノエルさんであり続けられたのは\n川島さんの支えがあったから。」	“诺艾尔小姐之所以直到最后\n都能保持自我，\n是因为有川岛先生的支持。”
「自分はそう思うッス。」	“我是这么想的。”
「……ノヴァ。」	“……诺瓦。”
「さてさて、<ruby=ノヴァ>NOVA</ruby>シリーズの理解も深まった事ですし\nノヴァちゃんへの質問コーナーを終了としますか。」	“好了好了，既然大家对<ruby=ノヴァ>NOVA</ruby>系列的了解也加深了，\n诺瓦酱的问答环节就到此结束吧。”
「良かったッスね。川島さん。\nこれでまたノヴァちゃんを\n知ることが出来たッスよ。」	“太好了，川岛先生。\n这样你又进一步\n了解诺瓦酱了。”
「お前の理解度が上がるとどうなるんだ？」	“了解度提升了又会怎样？”
「ちっちっち。<ruby=やぼ>野暮</ruby>な質問ッスね。\n好きな子の事をもっと知りたいと思うのは\n<ruby=しごくとうぜん>至極当然</ruby>な事なんスよ。」	“啧啧啧，真是<ruby=やぼ>不解风情</ruby>的问题。\n想更多了解喜欢的人，\n不是<ruby=しごくとうぜん>理所当然</ruby>的吗？”
「ノヴァちゃんを知るという事は！\nもっとノヴァちゃんが好きになると言う事さ！」	“了解诺瓦酱，就是！\n会变得更加喜欢诺瓦酱！”
「ノヴァちゃんを好きにな～る。\nノヴァちゃんを好きにな～る。」	“变得喜欢诺瓦酱——。\n变得喜欢诺瓦酱——。”
（ノヴァは人差し指をぐるぐる回しながら\n謎の呪文を詠唱し始めた。）	（诺瓦一边转着食指，\n一边开始吟唱神秘咒语。）
「どう？好きになった？」	“怎么样？喜欢上我了吗？”
<Off>ウインク・私服	<Off>眨眼・便服
「おいおい。何言ってんだ。\n元々俺はノヴァにゾッコンLOVEだぜ。」	“喂喂，你说什么呢。\n我本来就对诺瓦爱得死心塌地。”
「ひゅー。\nストレートに言ってくれるぜ。」	“哟——。\n还真是直球告白啊。”
「今のはノヴァちゃん的に\nポイント高いッスよ。」	“刚才那句在诺瓦酱这里\n可是加分很高哦。”
「どう？メイドさんごっこ楽しめたかしら？」	“怎么样？女仆扮演玩得开心吗？”
「それはもちろん。\nご<ruby=まんえつ>満悦</ruby>ッスよね？川島さん。」	“当然开心。\n川岛先生也是<ruby=まんえつ>大满足</ruby>吧？”
「まぁ、メイド服姿の\nノヴァに奉仕されるのは\n悪くない体験だったな。」	“嗯，被穿着女仆装的诺瓦\n侍奉一番，\n确实是不错的体验。”
「なに人前だからって<ruby=しゃ>斜</ruby>に構えてるんスか。\n『ノヴァちゃん最高！』ぐらい言ってもいいんスよ。」	“干嘛因为在人前就<ruby=しゃ>故作矜持</ruby>。\n至少可以说一句‘诺瓦酱最棒！’吧。”
「ノヴァちゃん最高！」	“诺瓦酱最棒！”
「あら、大満足みたいね。」	“哎呀，看起来非常满意呢。”
「ええ。というわけで我々は\nこれで失礼するッス。」	“嗯。那么我们\n就先告辞啦。”
「はーい。今度は普通に\nシフト入ってくれてもいいんだからね。\nノヴァ。」	“好——。下次你也可以\n正常排班来上班哦，\n诺瓦。”
「まぁ考えておくッス。\nでわまたー。」	“我会考虑的。\n那下次见——。”
「あ、<ruby=たてがみ>盾守</ruby>パイセンだ。」	“啊，是<ruby=たてがみ>盾守</ruby>前辈。”
「あんなところで何してんだアイツ？」	“她在那种地方做什么？”
「ミーちゃん……。\nどこ……？どこに居るの……？」	“小米……。\n你在哪儿……？你在哪里……”
<Off>不満2・私服	<Off>不满2・便服
「あ………っ。」	“啊……”
「休日に<ruby=しどう>獅堂</ruby>と仲良く出掛けていた事が\n忘れられずかつて二人で行った<ruby=きせき>軌跡</ruby>を\nトレースしているのか……。」	“她忘不了休息日和<ruby=しどう>狮堂</ruby>一起出游的时光，\n所以正在重走\n两人曾经走过的<ruby=きせき>轨迹</ruby>吗……”
「ミーちゃん……。\n会いたい……。\nあなたに会いたい……。」	“小米……。\n我想见你……。\n我想见到你……”
「盾守パイセンは<ruby=いま>未</ruby>だに\nミーちゃんの<ruby=げんえい>幻影</ruby>に\n<ruby=とら>囚</ruby>われているんスね。」	“盾守前辈直到<ruby=いま>现在</ruby>仍然\n被小米的<ruby=げんえい>幻影</ruby>\n<ruby=とら>囚禁</ruby>着。”
「こんなに悲しい事ってあるのか。」	“世上怎么会有这么悲伤的事。”
「あらあら。\n川島さんと<ruby=きこういん>機巧院</ruby>さん。\nこんにちは。」	“哎呀哎呀，\n川岛先生和<ruby=きこういん>机巧院</ruby>小姐。\n你们好。”
「よう。<ruby=きぐう>奇遇</ruby>だな。」	“哟，真是<ruby=きぐう>巧遇</ruby>。”
「はろはろーッス。」	“哈喽哈喽——。”
